date,location,area,minimum_total_people_killed,maximum_total_people_killed,minimum_civilians_reported_killed,maximum_civilians_reported_killed,minimum_children_reported_killed,maximum_children_reported_killed,minimum_reported_injured,maximum_reported_injured
2010-03-23,Machis,North Waziristan,6.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-03-27,Hurmuz,North Waziristan,4.0,4.0,0.0,4.0,0.0,0.0,5.0,5.0
2010-03-31,Tappi,North Waziristan,5.0,6.0,5.0,6.0,1.0,1.0,2.0,2.0
2010-04-12,Boya,North Waziristan,13.0,13.0,8.0,13.0,2.0,2.0,2.0,3.0
2010-04-14,Ambar Shaga,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0
2010-04-16,Toorikhel,North Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-04-24,Machi Khel,North Waziristan,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,Khushali,North Waziristan,3.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-05-03,Machi Khel,North Waziristan,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
2010-05-09,Datta Khel,North Waziristan,5.0,10.0,0.0,4.0,0.0,0.0,4.0,4.0
2010-05-11,Datta Khel,North Waziristan,8.0,14.0,0.0,4.0,0.0,0.0,12.0,12.0
2010-05-11,Gurwak,North Waziristan,7.0,15.0,0.0,0.0,0.0,0.0,4.0,4.0
2010-05-15,Khyber,Khyber Agency,5.0,15.0,0.0,2.0,0.0,0.0,15.0,15.0
2010-05-21,Boya,North Waziristan,11.0,11.0,10.0,10.0,7.0,7.0,7.0,10.0
2010-05-28,Mizai Nari,South Waziristan,8.0,12.0,0.0,11.0,0.0,0.0,4.0,4.0
2010-06-10,Norak,North Waziristan,2.0,7.0,4.0,4.0,0.0,0.0,3.0,3.0
2010-06-11,Maizer,North Waziristan,10.0,15.0,0.0,0.0,0.0,0.0,10.0,12.0
2010-06-19,Haider Khel,North Waziristan,16.0,17.0,0.0,0.0,0.0,0.0,10.0,18.0
2010-06-26,Khushali,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0
2010-06-27,Tabbi,North Waziristan,5.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0
2010-06-29,Kari Kot,South Waziristan,7.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0
2010-07-15,Sheerani,North Waziristan,9.0,14.0,0.0,7.0,0.0,0.0,3.0,3.0
2010-07-24,Dwasarak,South Waziristan,16.0,18.0,0.0,0.0,0.0,0.0,24.0,24.0
2010-07-25,Shaktoi,North Waziristan,14.0,32.0,0.0,0.0,0.0,0.0,7.0,12.0
2010-07-25,Tabbi,North Waziristan,4.0,12.0,0.0,0.0,0.0,0.0,2.0,4.0
2010-07-25,Sararogha,South Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0
2010-08-14,Issori,North Waziristan,13.0,14.0,7.0,7.0,1.0,1.0,5.0,6.0
2010-08-21,Qutab Khel,North Waziristan,4.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0
2010-08-23,Danda Darpakhel,North Waziristan,20.0,20.0,7.0,9.0,3.0,3.0,15.0,15.0
2010-08-23,Darga Mandi,North Waziristan,5.0,7.0,0.0,0.0,0.0,0.0,3.0,12.0
2010-08-27,Shahidano,Kurram Agency,3.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-08-27,Badshah Kot,Kurram Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,Taaloo Ganj,Kurram Agency,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2010-09-03,Miram Shah,North Waziristan,6.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0
2010-09-03,Datta Khel,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-09-04,Datta Khel,North Waziristan,7.0,8.0,0.0,0.0,0.0,0.0,12.0,12.0
2010-09-06,Khar Qamar,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
2010-09-08,Danda Darpakhel,North Waziristan,5.0,10.0,4.0,4.0,4.0,4.0,2.0,2.0
2010-09-08,Ambar Shaga,North Waziristan,3.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0
2010-09-08,Danda Darpakhel,North Waziristan,10.0,10.0,0.0,0.0,0.0,0.0,2.0,5.0
2010-09-09,Miram Shah,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0
2010-09-12,Newey Adda,North Waziristan,5.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0
2010-09-14,Bushnarai,North Waziristan,11.0,12.0,0.0,0.0,0.0,0.0,4.0,4.0
2010-09-14,Qutab Khel,North Waziristan,1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0
2010-09-15,Darga Mandi,North Waziristan,11.0,15.0,5.0,5.0,0.0,0.0,1.0,5.0
2010-09-15,Pai Khel,North Waziristan,4.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-09-19,Deegan,North Waziristan,3.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0
2010-09-20,Darazinda,North Waziristan,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
2010-09-21,Khand Morsak,South Waziristan,7.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0
2010-09-21,Azam Warsak,South Waziristan,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-25,Datta Khel,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-26,Lawra Mandi,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-09-26,Miram Shah,North Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
2010-09-26,Sheerani,North Waziristan,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-27,Khushali,North Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-28,Zeba,South Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-10-02,Asar Village,North Waziristan,8.0,10.0,0.0,0.0,0.0,0.0,2.0,4.0
2010-10-02,Inzarkas,North Waziristan,7.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-10-04,Mir Ali,North Waziristan,5.0,9.0,0.0,3.0,0.0,0.0,2.0,2.0
2010-10-06,Miram Shah,North Waziristan,5.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0
2010-10-06,Hurmuz,North Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-10-07,Khaisoori,North Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-10-08,Mohammad Khel,North Waziristan,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,Char Khel,North Waziristan,5.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0
2010-10-10,Shiva,North Waziristan,4.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-10-13,Datta Khel,North Waziristan,6.0,14.0,3.0,6.0,0.0,0.0,0.0,0.0
2010-10-15,Aziz Khel,North Waziristan,4.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0
2010-10-15,Machi Khel,North Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-18,Datta Khel,North Waziristan,6.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0
2010-10-27,Mir Ali,North Waziristan,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-27,Deegan,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-28,Ismail Khel,North Waziristan,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0
2010-11-01,Haider Khel,North Waziristan,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-11-03,Qutab Khel,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-03,Khaso Khel,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-03,Pai Khel,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-07,Ghulam Khan,North Waziristan,8.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-11-07,Datta Khel,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0
2010-11-11,Ghulam Khan,North Waziristan,5.0,8.0,0.0,0.0,0.0,0.0,5.0,6.0
2010-11-13,Miram Shah,North Waziristan,4.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0
2010-11-16,Ghulam Khan,North Waziristan,20.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0
2010-11-19,Norak,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-21,Khaddi,North Waziristan,5.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0
2010-11-22,Khesoor,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0
2010-11-26,Pir Kelev,North Waziristan,2.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0
2010-11-28,Hassan Khel,North Waziristan,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-06,Khushali,North Waziristan,3.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0
2010-12-06,Kushali,North Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-10,Khadar Khel,North Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-12-14,Spalaga,North Waziristan,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
2010-12-16,Tirah Valley,Khyber Agency,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-17,Sandana,Khyber Agency,7.0,15.0,0.0,0.0,0.0,0.0,7.0,11.0
2010-12-17,Nakai,Khyber Agency,11.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-12-17,Speen Drang,Khyber Agency,32.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0
2010-12-27,Shera Tala,North Waziristan,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-27,Machi Khel,North Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-28,Ghulam Khan,North Waziristan,5.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0
2010-12-28,Ghulam Khan,North Waziristan,5.0,12.0,2.0,4.0,0.0,0.0,3.0,3.0
2010-12-28,Ghulam Khan,North Waziristan,9.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0
2010-12-31,Ghulam Khan,North Waziristan,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,Mandi Khel,North Waziristan,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,Mandi Khel,North Waziristan,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,Datta Khel,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,Boya,North Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0
2011-01-07,Ghar Laley,North Waziristan,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-12,Haider Khel,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,2.0,15.0
2011-01-18,"Assar Madd Khel, Datta Khel",North Waziristan,3.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0
2011-01-23,Doga Mada Khel,North Waziristan,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-23,Doga Mada Khel,North Waziristan,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-23,Razmak,North Waziristan,4.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0
2011-02-20,"Kazha Punga area, Tehsil Birmal",South Waziristan,6.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0
2011-02-21,Malik Jashdar,North Waziristan,7.0,14.0,0.0,11.0,0.0,0.0,10.0,10.0
2011-02-24,Mohammad Khel,North Waziristan,4.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0
2011-03-08,Landidog,South Waziristan,2.0,5.0,0.0,5.0,0.0,0.0,2.0,2.0
2011-03-09,Datta Khel,North Waziristan,5.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0
2011-03-11,Khesoor,North Waziristan,4.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0
2011-03-11,Ghoroski,North Waziristan,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-13,Azam Warsak,South Waziristan,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0
2011-03-13,"Ishar Morr area, Qutab Khel, Miranshah",North Waziristan,4.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0
2011-03-14,Malik Jashdar,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-16,Datta Khel,North Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,Datta Khel,North Waziristan,26.0,42.0,19.0,41.0,0.0,1.0,9.0,14.0
2011-04-13,Angor Adda,South Waziristan,4.0,7.0,0.0,7.0,0.0,0.0,6.0,10.0
2011-04-22,Spinwan,North Waziristan,20.0,26.0,5.0,9.0,3.0,5.0,5.0,10.0
